X,Y,osm_id,lastchange,code,fclass,name
-8.1698687,41.4475807,"26132168",,"2304",pub,
-8.5999775,40.0113725,"26684275",,"2801",fuel,
-7.7925981,40.9520479,"31258821",,"2303",cafe,Café Castanheiro
-7.7928871,40.9514678,"31258822",,"2703",museum,Museu da Junta de Freguesia
-7.7922212,40.9529209,"31258992",,"2303",cafe,Café Central
-7.7923011,40.9538508,"31259022",,"2303",cafe,Café Recanto
-9.121514,38.7226803,"32996787",,"2801",fuel,
-9.2488858,39.0995212,"59909617",,"2801",fuel,
-9.3027424,38.9647876,"69574262",,"2702",attraction,Tapada Nacional de Mafra
-8.679482,41.1706002,"96498239",,"2804",parking,
-7.792318,40.953654,"115380068",,"2301",restaurant,Tasco O Varosa
-9.4146994,38.9584752,"129994343",,"2801",fuel,Galp
-9.4176863,38.9821914,"129994589",,"2801",fuel,Área de Serviço da Ericeira (BP)
-8.8739691,37.2964492,"142907389",,"2804",parking,
-8.8737153,37.296261,"142907409",,"2301",restaurant,O Arrifana
-9.1921147,38.7836334,"145997451",,"2801",fuel,
-8.4205667,40.2082132,"149396580",,"2001",police,Policia Judiciária
-8.444589,40.2116273,"190641121",,"2804",parking,
-8.4438766,40.2102967,"190641334",,"2804",parking,
-8.8245391,37.0655746,"190829644",,"2804",parking,
-8.6688753,37.0866952,"190892787",,"2804",parking,
-9.4477789,38.6961417,"196052478",,"2801",fuel,
-9.1000062,38.4431984,"196095381",,"2301",restaurant,Tony
-9.1308342,38.4482889,"196096846",,"2301",restaurant,
-9.2132904,38.4203398,"196100305",,"2804",parking,
-8.8754174,38.4781336,"196100992",,"2804",parking,
-8.5138629,38.3921721,"196108263",,"2801",fuel,
-9.1082719,38.4510679,"196108461",,"2804",parking,
-8.9958779,38.4722064,"196110496",,"2804",parking,
-9.106723,38.4434001,"196112025",,"2804",parking,
-9.1805927,38.5070691,"196112138",,"2804",parking,
-8.673584,37.1049668,"196273063",,"2801",fuel,
-8.9837545,38.4890834,"197533080",,"2804",parking,
-9.0003508,38.4670714,"197533134",,"2804",parking,
-8.9893529,38.4812789,"197533489",,"2804",parking,
-8.9404737,38.489423,"197535315",,"2804",parking,
-8.431285,40.3318794,"198442703",,"2003",recycling,
-8.982703,37.0278623,"199182499",,"2804",parking,
-8.6694801,37.1005062,"199687228",,"2801",fuel,
-8.6720452,37.1025508,"199687241",,"2009",courthouse,Casa da Justica
-8.6726466,37.1031981,"199687242",,"2005",post_office,
-8.6766457,37.1099533,"199687250",,"2801",fuel,
-8.679626,37.1112096,"199687256",,"2801",fuel,
-8.6797559,37.1108385,"199687261",,"2801",fuel,
-8.656166,37.1147188,"199821546",,"2003",recycling,
-8.6589083,37.1130462,"199821550",,"2003",recycling,
-8.688899,37.1097841,"199840754",,"2501",supermarket,Modelo
-8.6689087,37.0868772,"199847588",,"2301",restaurant,Restaurante O Camilo
-8.6874817,37.0857359,"199848891",,"2301",restaurant,Campimar
-8.6743453,37.0934495,"199849916",,"2301",restaurant,Triângolo
-8.5655478,37.3137323,"201647177",,"2301",restaurant,Jardim das Oliveiras
-8.5554743,37.3195257,"203761728",,"2005",post_office,
-8.6548608,37.1153926,"206155007",,"2003",recycling,
-8.4189325,40.2004008,"206385946",,"2301",restaurant,Pharmácia
-8.8988735,38.5652627,"218926325",,"2804",parking,
-9.1724586,38.7806973,"219221494",,"2003",recycling,
-8.3760534,40.3843516,"223500821",,"2101",pharmacy,Farmácia Nova
-8.2903196,40.08705,"224895926",,"2303",cafe,Café Casa da Barba
-8.976799,38.4823007,"229965177",,"2804",parking,
-8.9759836,38.482556,"229965730",,"2804",parking,
-8.975915,38.4828248,"229966011",,"2804",parking,
